Toy #,Col.#,Model Name,Series,Series#,Year,Version
DVD14,N/A,Rally Cat (2nd Color),"HW Digital Circuit
New for 2017!",5-Jan,2017,Digital Circuit Chase Variants
DVD15,N/A,Solid Muscle (2nd Color),"HW Digital Circuit
New for 2017!",5-Feb,2017,Digital Circuit Chase Variants
DVD16,N/A,Blade Raider (2nd Color),HW Digital Circuit,5-Mar,2017,Digital Circuit Chase Variants
DVD17,N/A,Tour de Fast (2nd Color),HW Digital Circuit,5-Apr,2017,Digital Circuit Chase Variants
DVD18,N/A,Futurismo (2nd Color),HW Digital Circuit,5-May,2017,Digital Circuit Chase Variants
DTX10,1,Aristo Rat,"Legends of Speed
New for 2017!",10-Mar,2017,Normal
DTW95,2,UNSC Warthog,"HW Screen Time
New for 2017!",10-Jan,2017,Normal
DTX38,3,K.I.T.T.,HW Screen Time,10-Oct,2017,Normal
DTW97,4,'70 Dodge Charger,"Experimotors
New for 2017!",10-Jan,2017,Normal
DTX42,5,HW Poppa Wheelie,Holiday Racers,5-Jan,2017,Normal
DTX48,6,Dodge Charger Daytona,Tooned,10-May,2017,Normal
DTW81,7,2015 Ford Mustang GT Convertible,"Factory Fresh
New for 2017!",10-Feb,2017,Normal
DTX54,8,Cadillac Elmiraj,Factory Fresh,10-May,2017,Normal
DTY79,9,'15 Dodge Charger SRT,HW Speed Graphics,10-Jun,2017,Normal
DTX72,10,'17 Ford F-150 Raptor,HW Hot Trucks,10-Apr,2017,Normal
DTX77,11,1978 Dodge Li'l Red Express Truck,HW Hot Trucks,10-Sep,2017,Normal
DTX80,12,'55 Chevy Bel Air Gasser,HW Flames,10-Feb,2017,Normal
DTX83,13,'77 Pontiac Firebird,HW Flames,10-May,2017,Normal
DTX85,14,'63 Chevy II,HW Flames,10-Jul,2017,Normal
DTX89,15,'64 Lincoln Continental,HW Art Cars,10-Feb,2017,Normal
DTX92,16,Volkswagen Golf Mk7,"HW Art Cars
New in Mainline",10-Jun,2017,Normal
DTX94,17,Cool-One,HW Art Cars,10-Aug,2017,Normal
DTX98,18,Off-Duty,HW Rescue,10-Mar,2017,Normal
DTY02,19,Rescue Duty,HW Rescue,10-Jul,2017,Normal
DTY04,20,'14 Corvette Stingray,HW Rescue,10-Sep,2017,Normal
DTY29,21,Snow Ride,HW Snow Stormers,5-Mar,2017,Normal
DTW94,22,Fairlady 2000,"Legends of Speed
New for 2017!",10-Jan,2017,Normal
DTW98,23,Speedy PŽrez,"Legends of Speed
New for 2017!",10-Feb,2017,Normal
DTX32,24,Minecart,HW Screen Time,10-Apr,2017,Normal
DTX36,25,The Jetsons,HW Screen Time,10-Aug,2017,Normal
DTX20,26,Emoticar,"Experimotors
New for 2017!",10-May,2017,Normal
DTX47,27,'68 Mustang,Tooned,10-Apr,2017,Normal
DTX34,28,The Mystery Machine,HW Screen Time,10-Jun,2017,Normal
DTX52,29,Tarmac Attack,Tooned,10-Sep,2017,Normal
DTX58,30,Porsche 993 GT2,Factory Fresh,10-Oct,2017,Normal
DTX59,31,Custom '01 Acura Integra GSR,HW Speed Graphics,10-Mar,2017,Normal
DTX68,32,Tomb Up,Fright Cars,5-Feb,2017,Normal
DTX71,33,Dodge Ram 1500,HW Hot Trucks,10-Jan,2017,Normal
DTX76,34,Chevy Blazer 4x4,HW Hot Trucks,10-Aug,2017,Normal
DTX82,35,'69 Ford Torino Talladega,HW Flames,10-Apr,2017,Normal
DTX88,36,Custom '72 Chevy LUV,HW Flames,10-Oct,2017,Normal
DTX90,37,Zotic,HW Art Cars,10-Mar,2017,Normal
DTX96,38,Rocket Box,HW Art Cars,10-Oct,2017,Normal
DTX97,39,Backdrafter,HW Rescue,10-Feb,2017,Normal
DTX99,40,Hover Storm,HW Rescue,10-Apr,2017,Normal
DTY01,41,Propper Chopper,HW Rescue,10-Jun,2017,Normal
DTY25,42,Street Stealth,HW Moto,5-Apr,2017,Normal
DTX55,43,Tesla Model S,Factory Fresh,10-Jun,2017,Normal
DTY30,44,Mountain Mauler,HW Snow Stormers,5-May,2017,Normal
DTY39,45,Grass Chomper,HW Ride-Ons,5-Mar,2017,Normal
DTY55,46,Howlin' Heat,Street Beasts,10-Sep,2017,Normal
DTY82,47,Dodge Viper SRT10 ACR,Nightburnerz,10-Aug,2017,Normal
DTY90,48,'15 Dodge Challenger,Muscle Mania,10-Jul,2017,Normal
DTX33,49,The Beatles Yellow Submarine,HW Screen Time,10-May,2017,Normal
DTX07,50,Sky Dome,"Experimotors
New for 2017!",10-Mar,2017,Normal
DTX41,51,Fast Cash,Experimotors,10-Oct,2017,Normal
DTX43,52,16 Angels,Holiday Racers,5-Feb,2017,Normal
DTX46,53,Carbonator,Holiday Racers,5-May,2017,Normal
DTX49,54,Lamborghini Countach,Tooned,10-Jun,2017,Normal
DTX57,55,BMW M4,Factory Fresh,10-Aug,2017,Normal
DTW93,56,Volkswagen KŠfer Racer,"HW Speed Graphics
New for 2017!",10-Feb,2017,Normal
DTX60,57,'73 BMW 3.0 CSL Race Car,HW Speed Graphics,10-Apr,2017,Normal
DTX63,58,Honda Odyssey,HW Speed Graphics,10-Jul,2017,Normal
DTX67,59,Rigor Motor,Fright Cars,5-Jan,2017,Normal
DTX78,60,Chevy Silverado,HW Hot Trucks,10-Oct,2017,Normal
DTX79,61,'68 Chevy Nova,HW Flames,10-Jan,2017,Normal
DTX91,62,Monster Dairy Delivery,HW Art Cars,10-May,2017,Normal
DTX93,63,Driftsta,HW Art Cars,10-Jul,2017,Normal
DTY00,64,Aero Pod,HW Rescue,10-May,2017,Normal
DTY05,65,'15 Ford F-150,HW Rescue,10-Oct,2017,Normal
DTX11,66,Boom Car,"HW Ride-Ons
New for 2017!",5-Jan,2017,Normal
DTY40,67,Tanknator,HW Ride-Ons,5-Apr,2017,Normal
DTY84,68,Porsche 934 Turbo RSR,Nightburnerz,10-Oct,2017,Normal
DTY91,69,'67 Pontiac GTO,Muscle Mania,10-Aug,2017,Normal
DTX14,70,Roller Toaster,"Legends of Speed
New for 2017!",10-Apr,2017,Normal
DTX29,71,Formula Flashback,Legends of Speed,10-Jul,2017,Normal
DVB54,72,Cool-One (2nd Color),HW Art Cars,10-Aug,2017,Normal
DTX44,73,Rodger Dodger,Holiday Racers,5-Mar,2017,Normal
DTX50,74,Volkswagen Beetle,Tooned,10-Jul,2017,Normal
DTX09,75,El Viento,"Experimotors
New for 2017!",10-Apr,2017,Normal
DTW89,76,Custom Datsun 240Z,"Factory Fresh
New for 2017!",10-Mar,2017,Normal
DTX51,77,C6 Corvette,Tooned,10-Aug,2017,Normal
DTX61,78,Toyota Off-Road Truck,HW Speed Graphics,10-May,2017,Normal
DTX64,79,Ford Focus RS,HW Speed Graphics,10-Aug,2017,Normal
DTX65,80,'15 Mazda MX-5 Miata,HW Speed Graphics,10-Sep,2017,Normal
DTX70,81,Skull Crusher,Fright Cars,5-May,2017,Normal
DTX74,82,1987 Toyota Pickup Truck,HW Hot Trucks,10-Jun,2017,Normal
DTX81,83,'55 Chevy,HW Flames,10-Mar,2017,Normal
DTY03,84,H2GO,HW Rescue,10-Aug,2017,Normal
DTY24,85,Ducati 1199 Panigale,HW Moto,5-Mar,2017,Normal
DTY27,86,Terrain Storm,HW Snow Stormers,5-Jan,2017,Normal
DTX87,87,'68 Plymouth Barracuda Formula S,HW Flames,10-Sep,2017,Normal
DTY48,88,Batman: Arkham Knight Batmobile,Batman,5-Apr,2017,Normal
DTX23,89,Turbo Rooster,"Street Beasts
New for 2017!",10-Jan,2017,Normal
DTY57,90,Dawgzilla,HW Daredevils,10-Mar,2017,Normal
DTY62,91,Baja Bone Shaker,HW Daredevils,10-Aug,2017,Normal
DTY70,92,Time Attaxi,HW City Works,10-Apr,2017,Normal
DTY75,93,Hot Wheels High,HW City Works,10-Oct,2017,Normal
DTY78,94,'90 Acura NSX,Nightburnerz,10-Apr,2017,Normal
DTY89,95,'69 Dodge Charger 500,Muscle Mania,10-Jun,2017,Normal
DVB08,96,Aston Martin DB10,HW Exotics,10-May,2017,Normal
DTX01,97,Tesla Model X,"Factory Fresh
New for 2017!",10-Sep,2017,Normal
DTX31,98,RRRoadster,Legends of Speed,10-Oct,2017,Normal
DHN90,99,'68 Corvette - Gas Monkey Garage,"HW Screen Time
New for 2017!",10-Mar,2017,Normal
DVC21,100,Surf Crate,Surf's Up,5-Apr,2017,Normal
DTX18,101,Gotta Go,"Experimotors
New for 2017!",10-Feb,2017,Normal
DTY54,102,Double Demon,Street Beasts,10-Aug,2017,Normal
DVB36,103,Dodge Charger Daytona,Tooned,10-May,2017,Normal
